image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.756983,truck,truck,True
drive_022,2,1,0.934102,bus,bus,True
drive_022,3,5,0.783273,car,car,True
drive_022,4,3,0.830813,car,car,True
drive_022,5,4,0.780848,car,car,True
drive_033,1,20,0.981551,bus,bus,True
drive_033,2,18,0.859381,bus,bus,True
drive_033,3,2,0.815768,truck,truck,True
drive_033,4,19,0.981721,car,car,True
drive_033,5,10,0.807314,car,car,True
drive_033,6,3,0.927021,car,car,True
drive_033,7,4,0.898363,car,car,True
drive_033,8,11,0.841144,car,car,True
drive_033,9,6,0.924252,car,car,True
drive_033,10,5,0.933675,car,car,True
drive_033,11,12,0.809401,car,car,True
drive_033,12,9,0.893386,car,car,True
drive_033,13,8,0.84674,car,car,True
drive_033,14,14,0.876045,car,car,True
drive_033,15,13,0.832968,car,car,True
drive_033,16,7,0.697384,car,car,True
drive_033,17,15,0.717831,car,car,True
drive_033,18,16,0.929774,car,car,True
drive_033,19,17,0.977804,car,car,True
drive_033,20,1,0.933504,car,car,True
drive_038,1,10,0.777398,truck,truck,True
drive_038,2,16,0.938134,van,van,True
drive_038,3,11,0.83534,van,car,False
drive_038,4,20,0.965147,car,car,True
drive_038,5,19,0.942809,car,car,True
drive_038,6,18,0.782422,car,car,True
drive_038,7,17,0.96163,car,car,True
drive_038,8,13,0.866397,car,car,True
drive_038,9,15,0.940294,truck,truck,True
drive_038,10,3,0.923013,car,car,True
drive_038,11,2,0.845552,car,car,True
drive_038,12,12,0.915467,bus,bus,True
drive_038,14,9,0.939313,car,car,True
drive_038,15,8,0.730206,car,car,True
drive_008,1,18,0.908592,car,car,True
drive_008,2,26,0.895709,car,car,True
drive_008,3,14,0.948169,car,car,True
drive_008,4,23,0.93551,car,car,True
drive_008,5,13,0.9067,car,car,True
drive_008,6,2,0.846224,car,car,True
drive_008,7,28,0.786519,car,car,True
drive_008,8,1,0.626004,car,car,True
drive_008,9,21,0.910765,car,car,True
drive_008,10,22,0.762955,car,car,True
drive_008,11,6,0.809869,car,car,True
drive_008,12,5,0.853079,car,car,True
drive_008,13,16,0.865714,car,car,True
drive_008,14,4,0.880772,car,car,True
drive_008,15,24,0.893142,car,car,True
drive_008,16,20,0.958228,truck,truck,True
drive_008,17,15,0.958211,bus,bus,True
drive_008,18,3,0.916289,bus,bus,True
drive_008,19,11,0.762239,bus,bus,True
drive_008,20,17,0.845581,van,van,True
drive_008,21,29,0.876283,van,van,True
drive_008,22,19,0.906442,van,car,False
